m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,1640,2120,0,3,2792.0,16635.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1640,2220,0,3,2792.0,16735.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1644,2210,0,3,2796.0,16725.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1644,2220,0,3,2796.0,16735.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1645,2239,0,3,2797.0,16754.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1648,1892,0,3,2800.0,16407.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1648,2206,0,3,2800.0,16721.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1650,2231,0,3,2802.0,16746.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1653,2219,0,3,2805.0,16734.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1658,1927,0,3,2810.0,16442.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1661,2158,0,3,2813.0,16673.0,Vglut1,2059,1307.1402439024391,253.8262195121951,9601.140243902439,16841.826219512193,2059_3,4975
0,1661,2216,0,3,2813.0,16731.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1662,1930,0,3,2814.0,16445.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1667,1933,0,3,2819.0,16448.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1667,2218,0,3,2819.0,16733.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1673,1913,0,3,2825.0,16428.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1681,1916,0,3,2833.0,16431.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
0,1682,2192,0,3,2834.0,16707.0,Vglut1,2078,1346.6004077471966,1673.27624872579,9640.600407747197,18261.27624872579,2078_3,4992
0,1684,1922,0,3,2836.0,16437.0,Vglut1,2054,1318.6125708397733,1364.5321998969603,9612.612570839774,17952.53219989696,2054_3,4971
